,von_datum,bis_datum,stationshoehe_x,geobreite_x,geolaenge_x,stationsname,Landkreis
276,2004-06-01,2020-04-27,350.0,6.424,50.6743,Nideggen-Schmidt,Düren
277,2002-01-01,2020-04-27,459.0,9.9667,49.3895,Niederstetten,Main-Tauber-Kreis
278,2007-04-01,2020-04-27,25.0,9.2229,52.6711,Nienburg,Nienburg (Weser)
279,2006-01-01,2020-04-27,435.0,10.5067,48.8253,Reimlingen,Donau-Ries
280,2002-01-01,2020-04-27,111.0,6.6602,50.8294,Nörvenich (Flugplatz),Düren
281,1949-01-01,2020-04-27,12.0,7.1519,53.7123,Norderney,Aurich
282,2002-01-01,2020-04-27,25.0,8.6583,53.7647,Nordholz (Flugplatz),Cuxhaven
283,1995-03-02,2020-04-27,485.0,6.8697,50.3601,Nürburg-Barweiler,Ahrweiler
284,2005-03-01,2020-04-27,368.0,11.2538,49.4258,Nürnberg-Netzstall,Nürnberg
285,1951-01-01,2020-04-27,314.0,11.0549,49.503,Nürnberg,Nürnberg
286,2006-11-01,2020-04-27,518.0,12.1665,47.6187,Kiefersfelden-Gach,Rosenheim
287,1948-01-01,2020-04-27,806.0,10.2759,47.3984,Oberstdorf,Oberallgäu
288,2004-07-01,2020-04-27,230.0,9.3525,49.128,Obersulm-Willsbach,Heilbronn
289,2005-03-01,2020-04-27,596.0,12.4365,49.4521,Oberviechtach,Schwandorf
290,1955-01-01,2020-04-27,276.0,9.5176,49.207,Öhringen,Hohenlohekreis
291,1994-04-01,2012-10-01,11.0,8.1824,53.1763,Oldenburg,Oldenburg
292,1982-07-01,2020-04-27,150.0,13.0928,51.296,Oschatz,Nordsachsen
293,1951-01-01,2010-11-30,95.0,8.0534,52.2553,Osnabrück,Osnabrück
294,1984-08-01,2020-04-27,246.0,11.9292,51.0873,Osterfeld,Burgenlandkreis
295,2006-03-01,2020-04-27,312.0,10.2211,50.4538,"Ostheim v,d, Rhön",Rhön-Grabfeld
296,2005-01-01,2020-04-27,886.0,10.3892,47.6362,Oy-Mittelberg-Petersthal,Oberallgäu
297,2005-01-01,2020-04-27,549.0,11.6896,49.151,Parsberg/Oberpfalz-Eglwang,Neumarkt in der Oberpfalz
298,2002-01-01,2020-04-27,2.0,10.8773,54.0893,Pelzerhaken,Ostholstein
299,2004-09-01,2020-04-27,152.0,6.3789,49.5354,Perl-Nennig,Merzig-Wadern
300,2005-09-01,2020-04-27,333.0,8.6973,48.9329,Pforzheim-Ispringen,Enzkreis
301,2004-07-01,2020-04-27,630.0,9.2869,47.9344,Pfullendorf,Sigmaringen
302,2004-10-01,2020-04-27,385.0,7.5879,49.1912,Pirmasens,Pirmasens
303,1951-01-01,2020-04-27,386.0,12.13,50.4819,Plauen,Vogtlandkreis
304,2005-03-01,2020-04-27,522.0,11.5357,49.4777,Pommelsbrunn-Mittelburg,Nürnberger Land
305,1893-01-01,2020-04-27,81.0,13.0622,52.3813,Potsdam,Potsdam
306,1982-01-01,2020-04-27,40.0,13.4771,54.3643,Putbus,Vorpommern-Rügen
307,2006-12-01,2020-04-27,142.0,11.132,51.7953,Quedlinburg,Harz
308,2007-03-01,2020-04-27,204.0,11.5412,51.3895,Querfurt-Mühle Lodersleben,Saalekreis
309,1988-01-11,2020-04-27,11.0,9.8776,53.7331,Quickborn,Pinneberg
310,2003-07-01,2020-04-27,41.0,8.5906,52.4461,Rahden-Kleinendorf,Minden-Lübbecke
311,2004-06-01,2020-04-27,440.0,9.6206,47.8062,"Weingarten, Kr, Ravensburg",Ravensburg
312,1948-01-01,2020-04-27,365.0,12.1019,49.0425,Regensburg,Regensburg
313,2005-01-01,2020-04-27,350.0,7.6958,50.9906,Reichshof-Eckenhagen,Oberbergischer Kreis
314,2011-02-01,2018-06-30,345.0,7.2505,51.18,Remscheid-Lennep,Remscheid
315,2004-07-01,2020-04-27,478.0,8.924,48.7425,Renningen-Ihinger Hof,Böblingen
316,2002-11-01,2020-04-27,131.0,7.9939,48.6703,Rheinau-Memprechtshofen,Ortenaukreis
317,2002-01-01,2017-12-20,40.0,7.3866,52.2887,Rheine-Bentlage,Steinfurt
318,2004-06-01,2020-04-27,282.0,7.7721,47.559,Rheinfelden,Lörrach
319,2008-11-01,2020-04-27,116.0,8.3301,48.9726,Rheinstetten,Karlsruhe
320,2004-08-01,2020-04-27,533.0,9.4596,48.1479,"Altheim, Kreis Biberach",Biberach
321,2006-03-01,2020-04-27,442.0,12.128,47.8753,Rosenheim,Rosenheim
322,1947-01-01,2020-04-27,4.0,12.0808,54.1803,Rostock-Warnemünde,Rostock
323,2004-12-01,2020-04-27,32.0,9.3398,53.1288,Rotenburg (Wümme),Rotenburg (Wümme)
324,2002-01-01,2020-04-27,386.0,11.1035,49.2162,Roth,Roth
325,2005-01-01,2020-04-27,415.0,10.1732,49.3848,Rothenburg ob der Tauber,Ansbach
326,2004-07-01,2020-04-27,588.0,8.6356,48.1814,Rottweil,Rottweil
327,2005-03-01,2020-04-27,102.0,7.871,49.8502,"Kreuznach, Bad",Bad Kreuznach
328,2005-03-01,2020-04-27,461.0,7.8837,49.6468,Ruppertsecken,Donnersbergkreis
329,1962-05-01,2020-04-27,320.0,7.1077,49.2128,Saarbrücken-Ensheim,Regionalverband Saarbrücken
330,2004-06-01,2020-04-27,248.0,9.071,48.9569,Sachsenheim,Ludwigsburg
331,2006-01-01,2020-04-27,457.0,13.3146,48.7832,Saldenburg-Entschenreuth,Freyung-Grafenau
332,1950-01-01,2020-04-27,135.0,8.7521,52.1042,"Salzuflen, Bad",Lippe
333,2005-09-01,2020-04-27,518.0,10.0034,50.3518,Sandberg,Rhön-Grabfeld
334,1999-12-01,2020-04-27,5.0,8.6031,54.3279,Sankt Peter-Ording,Nordfriesland
335,2002-01-24,2020-04-27,155.0,8.9671,49.9195,Schaafheim-Schlierbach,Darmstadt-Dieburg
336,1989-10-01,2020-04-27,609.0,10.6533,51.7658,Wernigerode-Schierke,Harz
337,1989-08-01,2020-04-27,501.0,11.8041,50.5679,Schleiz,Saale-Orla-Kreis
338,1951-01-01,2020-04-27,43.0,9.5487,54.5275,Schleswig,Schleswig-Flensburg
339,2004-09-01,2020-04-27,230.0,9.5534,50.3447,Schlüchtern-Herolz,Main-Kinzig-Kreis
340,2005-02-01,2017-03-03,296.0,10.4539,50.725,"Schmalkalden, Kurort",Schmalkalden-Meiningen
341,1978-07-01,2020-04-27,937.0,10.7693,50.6546,Schmücke,Ilm-Kreis
342,2004-08-01,2020-04-27,649.0,6.4194,50.2968,Schneifelforsthaus,Eifelkreis Bitburg-Prüm
343,2007-07-01,2020-04-27,608.0,12.1435,50.2047,Selb/Oberfranken-Lauterbach,Wunsiedel im Fichtelgebirge
344,2005-05-01,2020-04-27,398.0,12.6175,49.1644,Schorndorf-Knöbling,Cham
345,2005-02-01,2020-04-27,265.0,9.1226,50.4925,Schotten,Vogelsbergkreis
